Sentiment,Tweet
negative,tolol gak hubung nya gugur dengan pakai hijab syar i yang kamu bilang bayi nya panas dalem gak hubung nya woyyyy otak jempol kamu gak singkron sih nulis komentar
negative,geblek kamu tata cowo banget dibela2in balik hadeww nanti tinggal lagi nyalahin tuh cowo kitenya yang oon
negative,kemarin termewek2 sekarang lengket lagi duhhh labil banget sih mbak kya abege ajah atau yang kemarin cari sensasi biar top markotoppp ertong gk kualitas
negative,inti kesel att nya gausah anak kasi kembang psikis anak depan orang benar benar tolol skrg anda anak anak dikatain orang benci bagaimana asa benci tahu batesnya nama manusia gaakan suka haters
negative,hadewwwww permpuan lagi sakit jiwa kenapa yang jadi peran utama film hantu jeruk purut seperti khabis stok artis saja
negative,pantesan tinggalin laki laki mikir kali perempuan kayagni urus saja gak becus bagaimana urus anak lebih baik anak bapake nya saja benar didik
negative,biasa balajaer nyampah di ig artis suka2 yang ig bikin caption balajaer yang heboh asik ceramahin yang ig sebentar lama2 di bikinin lagu sm kakak perempuan melly loh balajaer yang judul balajaer sabda seonggak koin laknat nya balajaer ngamuk iya banget koin laknat nya jadi goda di rt nya gigi aduh elah balajaer smua tahu kale laku biduan kamu seperti apa minus segala2nya di bela mati2an pada sakit jiwa
negative,karena rakyat indonesia bodoh tidak beda yang yang buruk sudah tahu prilaku buruk tidak tahu sopan santun yang pilih jadi panutan idola yang murah dr pada yang kelas ber etika
negative,ayu janda bego pny suami kapan nikah lagi
negative,anyiennnnggg suara hancur banget merdu tukang goreng
negative,syarat sah nikah agama islam 5 cpp cpw saksi wali nikah mas kawin mahar perkara makeup gak manglingi syarat sah nikah gak makeup syarat yang 5 penuh nikah sah yak emak emak julids
negative,cewek gatau ini ngerebut pacar orang udh abang yang ngedukung sifat jelek lagi ck
negative,eh situ kids jaman now banyak micin mna yang ngina bego pelihara
negative,jijik liat suer deh minceeee
negative,emang tabu cium gitu iya emang yang bikin eneg citra nya yang sok alim sok sok bijak sok sok yang lai anda citra sok alim sok suci serius
negative,yang jadi 1 cium dpn orang banyak yang sih mantri hutan dan lurah mungkin lagi mabok jadi gak mantri hutan dan lurah 2 teman helooow teman tidak libat cium bibir coba saja bayangin sanggup gak cium bibir sama teman lbh dr teman dasar laku kids jaman now yang emg bego karena banyak micin lho yah
negative,anjing nya ngamuk hidup dmana2 pny musuh udh kliatan mna yang orang nggak pny banyak musuh
negative,ahhh jaga ucap lahh ucap ngk jaga dasar munafik dasar betina zaman now ellu kali yangg lebih micin kamu otak kamu selangkang paham moga tuhan ampunin munafik kamu cun
negative,yaa ampun upil naruto kata2nya cermin kalau yang perek culun alam banget kamu yaa kasihan saya prihatin mati saja deh kamu ngotorin dunia manusia kamu
negative,cuman jual goyang yak suara tahi
negative,kasi ih cari uang sampai segitunya
negative,anjing tonton yang mutu
negative,dulu inul goyang ngebor baju ketat dcekal harus ny ini juga dengan sgja goyang dada melulu suara nggak sbrpa mrsk moral anak muda yang nnton bawa nafsu saja
negative,pnyanyi dangdut yang nggak kelas bgini ini ya nonjolin suara nonjolin dada
negative,najis najis udh homo saja orang kaya gin musnah muka bumi
negative,haduuh orang gak akhlak bangeg asa kerja antem melulu musuh
negative,s lonte bukan sensasi ngjak ribut orang melulu sampah
negative,kayak banci dh nenek2 pny cucu now watching operasi mua top ttp saja kalau asli ny g cantik dalam
negative,bagus kalau mingkem saja hahahahahaha jahat akuuu
negative,oplas permak tetep jelek pokok muka tegang seperti banci sudah sekian
negative,lebih baik lihat adik molen biarpun cowok tapi cuantik gak kaya cewek tapi kayak banci wkwkwk
negative,banci rombeng jijik gay juga
negative,orang gila ken hitz cri tenar rela penjara cari sensasi settingan beken smpe hina2 orang astagfirullah kaya sih orang kaya mulut nya seperti sampah nggak sekolah
negative,cowok anjing cuihhh orang kaya koar saya orang ping kaya dunia orang tahu kalau orang kaya orang kaya malahn perilaku orang sederhana pamer kaya dunia akhirat mampus kamu harta tidak bawa mati pants buang laut kamu orang anehhh
negative,cari sensasi tenar trus banya folowers nya gak begitu begitu juga kalee darar orang tres bicara saja belepotan gk begitu kamfungan
negative,bicara saja belepotan gaya kamu banci
negative,orang banyak makan tahi gin otak sudah penuh tahi jadi gak berfikir positif bicara saja gak moral dasar kaum2 laknat banci anjing kbanyakan burit sih kamu jadi stres manusia tidak mau jumpa kamu anjing anjing yang ketemu kamu tahi
negative,sikat abiss lahh orng2 sial kaya gin pimpin negara gak hormatin jangan mentang2 president sembarangin marah gak hina pimpin harap tindak hukum orng ini
negative,jijik banget lihat tingkah si upil mudah2an cepat tidur
negative,edan ini orang udh makan uang rakyat tidur
negative,manusia laknat mati apain
negative,sakit otak hati mah sudah gak nurani urat malu pajak loh ngegaji orang2 gila hormat
negative,anak babi bangsat ken sumpel timah panas mulut kamu biar modar
negative,ken sumpel timah panas mulut si anak babi pesek buruk rupa
negative,hai anak bangsat babi pesek buruk rupa keriting ken penggal leher kamu sampai putus lumayan makan tidak setia
negative,ratu pelakor jagat raya dimana2 lonte gak mantri hutan dan lurah yang ngerasa lonte mantri hutan dan lurah dikit
negative,mahhhh temu buah ranum buah busuk deh tahu yang busuk yang manah mentok2nya mah gitu saja kalau pelakor
negative,ah manda mah gatel nggak liyat cowo dikit langsung sosor begok aje yang sama manda kegatelan cewek
negative,si amanda muka tante umur tapi muka boros banget dasar cabe jujur saya mah kgk suka sama ini haltis
negative,astagah suka sama cewek dekil mel nagita turun att nagita kaya emas att kaya barlen
negative,alah laki laki jaman skrg sm saja bejat ustad seperti seperti gila banget sm perempuan yang istri stju banget sm yang bilang ustazah msuk surga bkan krna poligami masih banyak yang bisa jadi akhlak bisa masuk surga yaa smoga saja sih perempuan perempuan pelakor luar sna azab yang gak ampun hidup gk selamat dunia akhirat
negative,gilaaaaa pelakor bnget laki2 gatal alas poligam woiii mikir pakai otak haduh pikir orang pintar tahu agama buruk allah uji setia nafsu eh kaya gtu sakit istri sja tutup pintu rejekimu anak istri kamu korban sbg seorg imam keluarga gagal mmpertahankan rumah tangga coreng nama nya sendiri smua orang suka skrg benci m
negative,biasa kalau pelakor lbh hancur muka istri sah barang bagus cepat laku pelakor jelek laku ngembat laki orang sudah sama2 gatel cocok wes
negative,lama2 tidak suka deh sm ini ertong caption ig story nya bicara orang mlu orang jadi ambigu nilai si a si b si c sudah begitu kaya zholimi salahinnya lawan jangan bicara status ah nya dewasa
negative,pikir manusia bodoh eehhh tante ibu oma empo otak kamu picik bngt juga manusi larang emang dunia orang larang ngungkapin unek2 stupid human
negative,heran deh yang ngatain si via baperan wajib ajar dese baper udin muak orang yang munafik sok an dese kabar yang baperan laki orang nggak nyadar tuh puja att gotong royong nasehatin att gila muja att mojokin viaa dese manusia les ahh
negative,yang komen via nyinyir melulu aduh kyak gak nyinyirin orang saja parah kalau orang sok benar mah gitu pdhal media sosial hak instagram instagram yang nyinyir gak pakai ig s
negative,pikir manusia bodoh eehhh tante ibu oma empo otak kamu picik bngt juga manusi larang emang dunia orang larang ngungkapin unek2 stupid human
negative,nya ngatain orang nyindir netijen goblog banyak masyako
negative,didik ortunya nagita bagus heran dengan balajaer nagita yah yang rugi sm junjunganny kenapa yang benci bodoh banget asli
negative,pdhl kilometer kampung loh pakai kerudung mulut cuihh
negative,belajaer tuh hahahaha bela artis ampe begitu manusah2 begoh
negative,iya norak kampyuung coba lihat artis adem ayem lihat isyana lihat agnezmo lihat mbak liaaat liat saja coba telaah deh kasih tahu contoh artis better eh jawab cocok lah
negative,gak sok high class mbak lihat komenmu artis beda2 mbak yang suka curah hati ig yang curah hati teman yang curah hati tuhan ngak trus mulut situ maju otak mikirnya yang curh
negative,bodoh gak netizen yang kontra sm postingan si via bakajaer kali mbak mas ih bodoh piara tertawa
negative,sih emg artis komando artis indo ny urus prestasi sosmed ny melulu isi nya jadi jatoh nya kampung
negative,saja knot ya mbak kaya agnes mau banyak harga ny tapi g kampung beda am yang
negative,munafik banget yang bicara curah hati sosmed kampung saya kamu kitu keleusss wkkwkww lebih baik mbak via artis cantik bisa nyanyi lah kamu lbh kampung wkwkwkwkw
negative,wawan zzzzz memang artis nggak tmn dikit dikit att hahaha curah hati sosmed kampung
