Sentiment,Tweet,Cleantweet
0, <USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!,sangat bodoh tidak ada hubungan nya keguguran dengan pakai hijab syari yang kamu bilang bayi nya kepanasan didalem tidak ada hubungan nya woy otak sama jempol kamu tidak singkron sih iya jadinya asal nulis komentar
0,Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.,geblek kamu tata cowo banget dibela2in balikan nanti ditinggal lagi salah itu cowo padahal kitenya yang bego
0,Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas,kemarin sedih sekarang lengket lagi duh kok labil banget sih mbak seperti anak muda saja atau yang kemarin cari sensasi biar top sangat ertong tidak berkualitas
0,"Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??",intinya kalau kesel dengan att nya gausah ke anaknya juga kasian buat perkembangan psikis anak kedepannya itu orang benar benar sangat bodoh sekarang seandainya dia punya anak terus anaknya dikatain sama orang yang benci sama dia bagaimana perasaan dia benci sama seseorang boleh tapi harus tahu batesnya walaupun begitu namanya manusia tidakakan semua jadi penyuka pasti ada seseorang yang tidak menyukai
0,"hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja",hadewwwww perempuan itu sedang sakit jiwa kenapa harus dia yang jadi peran utama di film hantu jeruk purut seperti kehabisan stok artis saja
0,"Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya",pantesan di tinggalin laki iya lakinya juga mikir kali kalau perempuannya seperti ini mengurus diri saja dia tidak becus bagaimana mengurus anak lebih baik anak sama bapake nya saja benar didiknya
0,"kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa",kebiasaan balajaer membuat sampah di ig para artis suka suka yang punya ig lah mau bikin caption apa kok balajaer yang heboh dan asik ceramahin yang punya instagram nanti lama lama di bikinin lagu sama kakak perempuan melly loh balajaer yang berjudul ketika balajaer bersabda seonggak koin laknat nyabalajaer ngamuk berarti mengiyakan sangat koin laknat nya jadi penggoda di rt nya gigiduh elah balajaer kami semua tahu kali kelakuan biduan kamu itu seperti apa minus segala galanya lagi masih di bela mati matian pada sakit jiwa
0,krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika,karena sebagian besar rakyat indonesia itu bodoh tidak bisa membedakan mana yang baik mana yang buruk sudah tahu perilaku buruk tidak tahu sopan santun itu yang dipilih jadi panutan lebih mengidolakan yang murahan dari pada yang berkelas dan ber etika
0,ayu janda bego pny suami kpn nikah laginya?,ayu janda bodoh punya suami kapan nikah laginya
0,"Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan",anjing suaranya hancur sangat lebih merdu tukang gorengan
0,"Syarat sah nikah menurut agama islam hanya 5 yaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup gak manglingi bukan syarat sah pernikahan. Sekalipun gak makeup tapi syarat yg 5 tersebut terpenuhi maka pernikahannya SAH yak emak emak julids",syarat sah nikah menurut agama islam hanya 5 yaitu adanya cpp adanya cpw saksi wali nikah dan mas kawin atau mahar perkara makeup tidak manglingi bukan syarat sah pernikahan sekalipun tidak makeup tapi syarat yang 5 tersebut terpenuhi maka pernikahannya sah yak emak emak julids
0,"Cewek gatau diri nih, ngerebut pacar org. Udh mana punya abang yg ngedukung sifat jeleknya lg. Ckck",cewek tidak tahu diri ini ngerebut pacar orang sudah mana punya abang yang ngedukung sifat jeleknya lagi ck
0, <USERNAME> eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????,eh situ siapa kids jaman sekarang iya kebanyakan micin mana kata aku yang ngina bodoh dipelihara
0,Jijik liatnya suer deh minceeee,jijik liatnya serius deh minceeee
0,"Emang bukan hal tabu ciuman gitu (iya emang) tapi yg bikin eneg itu ""PENCITRAAN"" nya yg sok alim sok baik sok bijak dan sok sok yg lainya. Seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan. Bukan sok alim atau sok suci serius!",memang bukan hal tabu ciuman begitu iya memang tapi yang bikin tidak enak itu pencitraan nya yang sok alim sok baik sok bijak dan sok sok yang lainya seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan bukan sok alim atau sok suci serius
0,"Yg jd masalah disini adalah 1. mereka ciuman dpn org bnyk yg SEHARUSNYA sih punya rasa MALU, kecuali mgkn lg mabok jd gak ada rasa malu. 2. Mereka berteman?? Helooow sebuah pertemanan tdk akan melibatkan ciuman BIBIR, coba aja kalian bayangin, sanggup gak ciuman bibir ma TEMAN? pasti lbh dr teman lah itu. Dasar Kelakuan Kids jaman now yg emg bego, bukan krn kebanyakan micin lho yah ??",yang jadi masalah disini adalah 1 mereka ciuman depan orang banyak yang seharusnya sih punya rasa malu kecuali mungkin lagi mabok jadi tidak ada rasa malu 2 mereka berteman helooow sebuah pertemanan tidak akan melibatkan ciuman bibir coba saja kalian bayangin sanggup tidak ciuman bibir sama teman pasti lebih dari teman lah itu dasar kelakuan kids jaman sekarang yang memang bodoh bukan karena kebanyakan micin loh yah
0,Anjing nya ngamuk..hidup kok dmana2 pny musuh..udh kliatan mna yg baik dan bukan..org baik ga pny byk musuh..,anjing nya ngamuk hiduo kok dmana2 punya musuh sudah keliatan mana yang baik dan bukanorang baik tidak punya banyak musuh
0," <USERNAME> ahhh katanya jaga ucapan, lahh ucapan dia ngk dijaga sendiri.. dasar munafik.. dasar betina zaman now ellu kali yangg kelebihan micin.. loe sendiri otak loe kan di selangkangan mana paham.. semoga Tuhan ampunin kemunafikan loe cun",ahhh katanya jaga ucapan lahh ucapan dia tidak dijaga sendiri dasar munafik dasar betina zaman sekarang lu kali yang kelebihan micin kamu sendiri otak kamu kan di selangkangan mana paham semoga tuhan ampunin kemunafikan kamu pecun
0," <USERNAME> yaa ampun ini upil naruto,, kata2nya makin mencerminkan klo dia yg sebenarnya pecun.????pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau.??",ya ampun ini upil naruto kata katanya makin mencerminkan kalau dia yang sebenarnya pecun pengalaman sangat kamu ya kasihan saya jadi perihatin mati saja deh kamu ngotorin dunia manusia macam kamu
0,"Cuman jual goyangan yak, suara macam taik...",Cuma jual goyangan yak suara macam tai
0,Kasian ih nyari uang sampe segitunya,kasian ih mencari uang sampai segitunya
0,anjir tontonan yg sangat tidak bermutu!,anjing tontonan yang sangat tidak bermutu
0,"Dlu inul goyang ngebor baju ketat dcekal. Hrs ny ni jg dg sgja goyang dada mulu, suara ga sbrpa. Mrsk moral ank muda yg nnton bawaannya nafsu aja nanti ????",dulu inul goyang ngebor baju ketat dcekal harus nya ini juga dengan sengaja goyang dada melulu suara tidak seberapa merusak moral anak muda yang nonton bawaannya nafsu saja nanti
0,Pnyanyi dangdut yg ga berkelas bgini nih... bukan'y nonjolin suara malah nonjolin dada,penyanyi dangdut yang tidak berkelas begini ini bukany nonjolin suara bahkan nonjolin dada
0,"Najis najis udh homo aja harusnya, org kaya gini di musnahkan dari muka bumi",najis najis sudah homo saja harusnya orang kaya begini di musnahkan dari muka bumi
0,"Haduuh ini orang gak punya akhlak bangeg, perasaan kerjaan berantem mulu, banyak musuhnya",haduuh ini orang tidak punya akhlak bangeg perasaan kerjaan berantem melulu banyak musuhnya
0,S lonte ini bkn sensasi ngjak ribut org mulu sampah,si lonte ini bukan sensasi ngajak ribut orang melulu sampah
0,Kayak banci dh mirip nenek2 pny cucu . Mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm..,kayak banci deh mirip nenek nenek punya cucu now watching di operasi di mua top tetap saja kalau asli nya tidak cantik luar dalam
0,Dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya akuuu,dan lebih bagus lagi kalau mingkem saja hahahahahaha jahatnya akuuu
0,Walaupun Oplas ATAU dipermak sekalipun tetep jelek. POKOKNYA MUKANYA TEGANG KEK BANCI. UDAH SEKIAN??,walaupun oplas atau dipermak sekalipun tetep jelek pokoknya mukanya tegang seperti banci sudah sekian
